id,firstname,lastname,name,grille1,grille2,grille3,grille4,grille5
37,Jerry,Stuart,Jerry Stuart,48:41:43:48:23:46:17:2,47:48:47:12:17:40:21:-1,42:10:38:15:30:5:14:10,36:39:4:7:38:21:15:-1,22:19:25:28:26:5:6:5
38,Mureil,Sadowski,Mureil Sadowski,32:40:13:15:37:2:16:10,19:38:16:3:26:41:22:10,21:33:30:41:23:49:49:3,13:24:41:22:28:34:13:2,23:18:8:1:17:35:15:2
39,Beverley,Jary,Beverley Jary,32:29:24:47:11:38:16:4,7:35:3:8:2:18:40:8,25:44:38:7:35:23:23:8,22:4:27:7:11:34:42:8,8:36:33:37:15:30:38:1
40,Judy,Schlosser,Judy Schlosser,41:10:1:45:48:40:42:4,5:23:40:38:37:14:32:10,26:1:9:28:26:21:46:8,18:2:7:18:8:14:40:8,35:22:44:42:32:42:34:-1
41,Wynne,Phyllis,Wynne Phyllis,5:16:38:3:45:40:11:7,27:9:33:22:38:8:42:9,9:34:21:15:19:27:47:1,16:14:44:2:22:8:23:10,37:31:36:23:17:21:41:2
42,Angela,Swanhildas,Angela Swanhildas,47:28:48:16:15:48:21:5,23:12:47:24:40:2:46:1,33:45:29:24:26:30:11:1,35:30:8:46:10:6:28:9,27:19:14:9:44:32:6:4
43,Mary,Zeeba,Mary Zeeba,40:40:31:7:17:38:26:4,16:46:24:33:43:39:27:1,8:6:41:44:28:47:20:3,34:49:8:37:6:47:38:4,18:7:33:43:25:18:19:9
44,Gertrud,Burch,Gertrud Burch,5:28:47:36:31:36:33:-1,14:34:5:3:42:49:40:10,18:21:12:2:46:27:24:8,1:31:1:33:11:39:12:5,16:38:41:22:29:44:7:7
45,Jennica,Ledah,Jennica Ledah,37:11:30:3:1:28:24:7,36:38:11:7:30:37:37:6,27:44:44:9:15:36:19:1,29:30:35:20:15:14:46:1,28:5:40:28:48:34:21:7
46,Rhoda,Kunin,Rhoda Kunin,13:44:39:6:15:23:2:2,16:21:32:4:45:43:44:9,40:13:36:29:21:2:26:6,49:3:43:6:37:13:43:9,6:5:47:45:19:46:20:7
47,Marinna,Urania,Marinna Urania,49:22:7:42:4:26:20:5,28:33:31:29:38:35:37:4,47:10:2:35:6:39:21:-1,15:14:18:11:22:45:4:9,11:5:26:41:4:32:9:4
48,Starla,Forrer,Starla Forrer,39:10:43:33:9:35:34:8,14:42:10:47:11:45:8:3,13:33:22:11:28:30:27:3,17:40:39:28:5:11:47:10,3:34:46:22:21:49:44:10
49,Lesly,Jehu,Lesly Jehu,28:5:37:18:27:3:18:10,4:27:30:12:24:16:13:1,9:2:39:44:20:30:6:1,34:30:38:20:16:11:28:-1,49:28:23:36:48:34:49:4
50,Kylynn,Pettiford,Kylynn Pettiford,4:31:31:8:6:30:47:10,21:39:4:27:10:11:44:5,16:17:33:34:32:1:4:2,18:30:44:22:19:48:22:10,12:23:5:2:33:44:12:8
51,Rubie,Toni,Rubie Toni,48:7:36:16:13:12:6:8,45:23:41:25:39:1:3:7,35:8:12:21:28:27:22:10,43:11:6:32:25:9:36:5,13:10:21:44:44:39:41:6
52,Barbi,Auberbach,Barbi Auberbach,15:6:30:28:21:45:43:5,20:18:21:27:40:47:38:5,1:43:9:1:30:15:45:9,49:31:26:33:21:42:32:3,22:7:42:14:23:12:36:-1
53,Kathi,Bigner,Kathi Bigner,10:9:22:31:17:16:31:10,35:28:6:40:12:8:2:10,11:33:29:17:47:42:23:10,27:48:12:12:9:35:49:8,35:24:33:11:15:42:25:2
54,Josephine,Emerson,Josephine Emerson,38:6:30:24:23:5:44:10,20:32:12:1:49:30:4:7,31:11:1:13:49:14:32:2,4:4:34:22:6:40:42:4,43:37:26:36:48:25:1:1
55,Danika,Lasley,Danika Lasley,25:23:35:35:45:8:44:2,32:7:47:33:22:7:14:4,46:26:31:21:6:25:11:9,27:10:4:1:39:32:2:1,25:13:39:9:29:32:17:9
56,Shaylyn,Hertzfeld,Shaylyn Hertzfeld,44:35:27:22:13:41:10:3,32:8:42:26:1:33:17:5,43:27:3:44:6:49:37:1,32:30:37:25:28:23:2:1,12:19:2:18:25:48:46:7
57,Gwyneth,Old,Gwyneth Old,22:19:18:25:13:3:11:1,26:5:4:27:48:40:5:5,19:39:20:29:47:31:10:-1,25:11:38:10:7:32:47:4,43:2:31:34:49:8:10:6
58,Leanna,Bergman,Leanna Bergman,11:8:37:5:43:27:14:3,13:7:20:9:48:30:41:9,21:31:4:15:40:24:48:9,27:10:40:26:14:34:10:8,6:3:16:44:9:36:16:8
59,Margalo,Zenas,Margalo Zenas,26:34:27:2:30:43:10:8,42:23:33:15:21:24:10:7,33:34:8:19:36:16:2:4,10:5:6:7:32:44:31:10,25:2:47:43:14:12:49:-1
60,Kristan,Lindemann,Kristan Lindemann,1:1:35:14:11:40:17:9,46:10:11:47:17:14:6:4,16:17:28:23:27:35:36:4,9:4:21:37:43:43:18:1,30:29:48:30:1:25:35:10
61,Raf,Carmena,Raf Carmena,29:11:12:25:32:38:17:10,15:36:24:10:14:13:48:4,34:11:45:31:22:44:7:10,2:16:45:33:43:31:31:5,34:39:10:9:29:27:32:9
62,Melanie,Henebry,Melanie Henebry,4:31:45:5:23:16:13:1,37:5:34:8:24:22:45:9,43:42:2:43:41:3:4:3,5:28:31:10:18:18:34:-1,31:19:48:14:12:12:13:6
63,Norine,Milson,Norine Milson,47:19:32:16:15:33:1:-1,22:44:6:28:43:41:4:10,30:6:18:23:39:34:9:9,34:8:16:24:6:28:37:6,32:44:11:40:1:38:27:6
64,Nataline,Elvyn,Nataline Elvyn,12:24:49:29:6:2:14:7,32:37:34:39:29:38:14:7,15:41:33:5:13:40:30:4,46:5:8:11:18:45:20:6,48:18:32:38:9:15:18:7
65,Helsa,Halsey,Helsa Halsey,36:18:46:43:45:32:2:-1,32:9:21:43:47:17:36:2,35:34:48:2:14:38:45:-1,24:13:1:46:43:40:11:1,38:18:24:46:13:5:41:6
66,Babita,Mozelle,Babita Mozelle,41:32:32:18:23:44:36:2,25:32:30:28:8:40:4:3,8:24:1:16:19:19:1:1,26:10:10:44:3:33:44:5,46:49:43:21:4:44:15:10
67,June,Emmy,June Emmy,14:17:37:1:14:19:37:1,39:36:9:39:10:41:41:10,2:39:20:1:4:11:11:-1,40:22:34:29:41:20:28:4,9:33:5:6:35:1:45:8
68,Angela,Dudley,Angela Dudley,40:19:20:30:42:10:31:2,32:9:1:3:28:1:22:-1,42:9:3:9:15:17:25:3,18:20:46:34:19:11:23:4,31:15:2:10:10:17:33:2
69,Valeda,Jobi,Valeda Jobi,11:34:9:43:30:27:3:10,47:23:31:15:24:1:42:-1,3:41:3:14:37:19:38:1,39:31:40:36:29:8:10:5,28:29:26:37:29:42:8:7
70,Cathie,Gherardo,Cathie Gherardo,41:49:21:47:17:7:46:2,43:33:46:6:15:6:12:2,28:14:47:44:34:10:44:9,24:13:19:46:27:21:39:2,38:3:12:13:44:21:44:10
71,Elsie,Shelba,Elsie Shelba,36:46:19:38:13:29:9:10,20:3:9:34:13:47:34:6,40:9:42:39:48:40:21:9,20:16:17:29:35:20:20:3,42:49:25:1:22:22:46:1
72,Merci,Obed,Merci Obed,20:10:22:31:19:35:38:-1,3:28:21:48:5:37:3:8,42:23:33:39:44:19:46:1,47:14:40:38:1:45:23:3,28:29:29:2:15:49:42:1
73,Daphne,Casimir,Daphne Casimir,12:10:36:3:45:6:28:4,22:43:45:17:37:15:37:2,29:19:46:22:15:45:34:9,5:12:16:40:9:9:6:9,49:19:41:49:46:9:21:3
74,Nariko,Durware,Nariko Durware,26:22:9:7:32:34:39:-1,23:18:37:36:33:12:40:7,15:5:33:8:31:26:16:4,12:31:16:8:35:43:26:1,22:28:3:5:19:44:17:3
75,Sabina,Lorenz,Sabina Lorenz,40:34:27:13:33:49:38:1,33:46:23:36:13:17:33:2,21:4:34:38:29:32:23:6,35:18:20:24:13:49:31:6,27:32:19:4:42:9:33:5
76,Jenilee,Brackely,Jenilee Brackely,1:12:12:6:17:4:32:2,6:37:31:10:44:29:20:10,4:2:1:5:27:30:47:3,45:38:6:9:1:35:41:5,6:4:15:12:49:48:4:2
77,Dale,My,Dale My,35:28:7:8:1:10:26:7,1:8:47:11:35:30:25:2,22:25:33:31:3:20:2:1,42:25:10:6:11:32:25:9,47:30:5:45:15:14:20:2
78,Sandie,Zeeba,Sandie Zeeba,6:40:16:14:46:5:21:9,11:6:17:38:3:38:32:7,22:1:19:47:13:28:6:7,26:6:33:19:30:1:10:5,18:27:33:40:12:48:26:3
79,Johna,Telfer,Johna Telfer,30:13:27:8:35:16:18:4,1:21:26:18:39:48:12:1,25:11:2:9:2:16:12:5,43:3:31:12:34:38:32:3,41:47:7:12:23:37:45:-1
80,Katharina,Leary,Katharina Leary,1:43:34:18:5:40:27:1,18:18:10:11:38:23:13:3,47:3:22:23:18:27:7:9,38:36:7:49:15:8:29:8,33:3:19:28:22:11:42:10
81,Averyl,Peonir,Averyl Peonir,42:7:6:6:3:33:19:9,40:43:43:34:35:29:14:5,21:28:3:47:47:41:41:2,40:47:33:32:28:32:19:6,10:4:11:38:10:44:40:3
82,Ida,Sallyann,Ida Sallyann,1:5:36:19:30:35:3:4,38:29:33:9:24:29:18:9,23:49:5:22:39:49:29:1,49:3:27:30:41:40:22:-1,31:20:33:23:11:28:26:10
83,Lorie,Lorain,Lorie Lorain,40:11:47:29:47:43:14:9,35:6:5:21:13:2:45:10,1:28:2:12:38:43:24:3,41:30:12:43:37:21:22:5,49:24:32:6:42:4:36:3
84,Carol-Jean,Joseph,Carol-Jean Joseph,3:8:44:20:4:40:30:5,45:1:5:16:7:48:17:8,48:37:13:22:21:41:9:5,4:39:17:32:27:4:31:2,16:10:20:4:29:3:6:7
85,Frank,Colp,Frank Colp,13:14:14:26:39:8:1:-1,4:20:12:23:3:3:8:2,6:20:9:13:48:12:46:10,20:37:26:46:3:44:34:4,8:21:40:1:43:47:31:6
86,Catrina,Rooney,Catrina Rooney,7:16:11:17:40:25:31:3,1:11:21:49:3:49:8:4,5:35:2:42:43:12:27:6,5:25:39:14:2:3:30:1,26:41:43:22:28:30:14:6
87,Kimberley,Regan,Kimberley Regan,29:6:43:39:41:29:14:5,47:44:27:23:4:29:34:3,30:35:9:44:38:20:8:7,5:45:4:30:18:10:14:7,25:12:18:17:32:8:5:1
88,Kore,Bandeen,Kore Bandeen,19:3:35:29:31:1:28:5,10:5:45:45:46:12:1:6,1:31:14:2:31:11:19:5,33:13:48:16:20:15:44:2,44:25:26:43:19:34:12:5
89,Kate,Oscar,Kate Oscar,38:14:29:34:45:19:34:9,34:41:37:41:41:11:25:10,49:3:8:16:31:10:6:10,44:23:31:47:26:28:39:10,8:40:29:31:13:40:10:4
90,Glynnis,Eldrid,Glynnis Eldrid,5:22:40:41:41:22:19:2,30:30:20:48:35:28:36:5,22:3:3:20:21:34:28:3,47:30:29:41:32:15:29:6,32:30:41:41:37:28:20:1
91,Mahalia,Podvin,Mahalia Podvin,16:9:20:47:47:45:32:5,17:46:12:9:46:28:41:4,10:14:16:3:16:49:44:4,33:16:36:15:48:5:43:3,33:32:26:27:44:4:43:4
92,Arlina,Weinreb,Arlina Weinreb,26:48:40:15:20:2:46:7,29:40:13:18:25:38:17:3,22:15:26:36:34:36:36:7,47:49:2:34:48:29:24:5,25:32:46:16:6:37:11:8
93,Cathie,Riva,Cathie Riva,10:20:21:33:12:8:3:8,3:5:4:47:30:9:26:6,29:35:8:45:35:34:19:6,30:14:44:3:3:11:10:7,38:31:9:32:34:16:4:5
94,Ardeen,Elisha,Ardeen Elisha,36:33:9:28:25:46:25:8,22:20:44:27:25:12:47:7,7:37:5:44:34:15:9:6,29:26:34:45:24:11:35:5,17:33:37:41:21:1:31:5
95,Alyda,Baylor,Alyda Baylor,10:42:7:26:22:12:15:-1,29:7:7:4:1:5:17:8,6:15:9:16:20:29:5:-1,46:46:3:11:29:27:17:10,3:21:6:40:48:41:39:-1
96,Natka,Berl,Natka Berl,28:15:17:1:3:21:13:5,9:7:37:33:12:9:48:-1,41:47:1:22:36:24:1:3,17:47:35:7:10:33:30:7,3:1:9:21:12:45:15:5
97,Anica,Duwalt,Anica Duwalt,4:49:6:43:11:23:43:1,39:26:43:2:8:29:40:10,23:38:33:33:33:19:36:4,2:31:49:3:41:1:35:8,2:9:4:48:47:25:35:4
98,Alie,Ezar,Alie Ezar,18:7:37:41:23:18:30:10,41:8:17:17:40:7:11:8,11:14:47:43:16:35:49:5,25:32:19:41:39:28:36:10,32:24:18:32:43:32:4:2
99,Jacenta,Phi,Jacenta Phi,15:28:45:33:8:27:7:6,8:43:35:46:23:11:26:3,45:12:20:38:9:46:7:8,16:8:11:22:42:17:30:7,38:48:23:46:8:43:46:-1
100,Ekaterina,An,Ekaterina An,1:13:26:29:38:2:27:1,21:22:12:12:5:21:29:3,34:18:7:49:34:32:6:2,7:37:9:24:44:13:13:8,24:28:9:4:24:38:49:2
101,Kristan,Jena,Kristan Jena,11:38:49:24:47:21:47:9,47:45:33:31:32:44:27:3,29:14:1:26:26:7:11:8,8:33:39:23:38:30:22:10,44:30:41:15:6:19:37:4
102,Diena,Cohdwell,Diena Cohdwell,36:18:49:39:10:15:28:3,19:32:42:25:26:15:39:5,16:5:42:11:16:38:19:8,25:16:12:3:42:10:13:7,47:18:44:33:29:29:22:10
103,Elsie,Lewes,Elsie Lewes,26:32:17:27:24:9:10:5,20:19:28:43:10:21:21:7,30:17:5:31:17:14:44:2,23:4:7:44:48:5:14:3,39:13:34:30:15:6:38:8
104,Kaia,Darrell,Kaia Darrell,48:21:26:6:10:49:7:10,45:17:26:3:45:1:10:6,5:25:4:17:49:36:38:6,41:21:33:43:34:32:23:7,22:45:17:10:22:3:36:8
105,Melisent,Bakerman,Melisent Bakerman,4:5:9:16:14:25:6:-1,12:3:32:4:31:19:5:4,16:21:47:30:48:35:36:5,34:28:19:19:31:18:33:8,33:25:41:24:38:7:40:4
106,Lelah,Lalitta,Lelah Lalitta,20:39:2:32:21:24:7:2,5:30:49:27:18:8:39:4,49:21:39:48:21:11:46:8,49:12:37:25:40:3:11:-1,32:7:35:6:6:11:16:2
107,Helena,Linskey,Helena Linskey,10:44:41:15:37:22:25:2,42:39:23:9:14:3:24:9,5:9:48:3:42:45:16:2,7:31:4:25:45:11:27:9,22:36:41:19:12:13:40:8
108,Larine,Hull,Larine Hull,29:6:38:5:24:49:6:-1,4:29:27:26:30:41:14:7,2:10:12:29:11:25:34:10,40:22:31:39:1:44:9:3,34:1:42:13:3:2:11:10
109,Lily,Mendez,Lily Mendez,19:30:48:5:29:11:35:8,3:15:8:35:33:39:26:2,33:9:31:6:23:34:40:5,41:30:32:33:23:46:6:9,15:28:11:18:31:48:30:3
110,Zsa Zsa,Ellord,Zsa Zsa Ellord,39:14:25:44:22:40:39:4,24:2:36:17:7:17:44:10,10:14:3:45:19:12:19:4,22:39:19:16:5:17:14:6,12:11:24:19:42:20:28:10
111,Fanny,Stover,Fanny Stover,27:31:15:21:44:6:28:2,18:8:21:19:46:5:40:10,1:35:15:18:17:43:43:6,48:38:36:36:30:7:35:5,33:31:21:9:45:19:17:3
112,Annecorinne,Bluh,Annecorinne Bluh,35:41:24:32:2:46:16:5,2:40:29:34:35:20:9:-1,29:36:14:33:11:36:11:6,39:8:29:42:15:22:45:10,14:12:31:30:4:34:3:4
113,Sherrie,Shama,Sherrie Shama,9:12:41:6:13:25:8:1,40:30:48:1:4:43:31:6,18:26:19:31:32:26:3:8,37:46:16:13:21:29:11:3,46:30:16:10:8:14:1:4
114,Amara,Israeli,Amara Israeli,1:39:49:17:4:46:11:-1,37:8:4:17:6:10:17:8,17:42:6:42:27:48:49:-1,26:20:38:6:36:10:17:9,44:43:2:34:33:46:4:3
115,Melisent,Rosemary,Melisent Rosemary,4:44:29:11:11:43:11:10,41:10:2:29:37:24:13:4,46:26:16:25:13:26:1:9,6:24:33:9:45:3:44:-1,33:11:12:11:49:35:21:1
116,Quintina,Remmer,Quintina Remmer,41:43:10:7:26:31:31:8,18:43:26:17:27:1:20:9,28:7:37:48:9:21:11:7,10:32:15:42:8:20:3:9,13:39:12:44:16:40:14:10
117,Inga,Stav,Inga Stav,48:39:13:23:30:22:32:-1,32:47:48:35:3:12:26:-1,48:32:19:3:7:9:47:6,28:6:48:25:40:4:8:9,21:11:26:6:15:5:17:-1
118,Alexine,Talia,Alexine Talia,2:32:15:28:8:13:25:1,11:24:10:30:28:1:42:9,28:40:41:5:38:25:29:9,29:32:13:4:3:24:26:8,45:42:34:30:40:28:21:5
119,Raina,Wolfgram,Raina Wolfgram,32:5:12:17:44:30:1:9,38:16:20:45:31:5:49:5,39:38:47:44:48:10:35:1,17:45:48:32:25:6:34:4,19:8:41:4:8:44:19:9
120,Vevay,Dahlia,Vevay Dahlia,19:30:3:25:15:21:40:2,9:37:32:5:43:12:49:6,1:47:40:6:42:16:30:9,48:33:36:28:13:43:38:3,10:38:24:45:19:24:4:10
121,Rayna,Norvol,Rayna Norvol,39:35:40:22:15:29:23:10,11:5:29:31:35:41:10:3,46:31:35:1:34:26:7:5,6:37:43:35:42:12:10:6,32:44:28:34:34:49:20:7
122,Emmey,Astra,Emmey Astra,44:30:20:20:6:37:5:8,11:17:18:23:1:10:37:1,6:44:19:22:27:44:35:8,40:24:14:23:43:1:1:-1,31:12:40:47:47:25:24:10
123,Kaia,Carri,Kaia Carri,48:47:47:19:29:19:42:8,9:35:22:47:39:29:38:4,8:2:10:5:5:35:36:6,26:7:19:43:48:28:40:4,30:21:18:39:31:10:13:4
124,Jean,Kosey,Jean Kosey,29:21:2:37:47:38:6:9,38:12:38:36:23:26:6:1,20:8:17:9:29:10:12:2,42:20:40:1:49:20:9:8,32:25:23:25:40:41:36:-1
125,Gusella,McLaughlin,Gusella McLaughlin,34:23:35:44:24:41:8:2,28:25:7:41:10:49:2:9,2:27:28:28:1:38:7:2,32:44:43:49:22:33:35:7,13:31:36:17:40:20:33:9
126,Raf,Lacombe,Raf Lacombe,16:8:6:38:10:27:40:4,49:5:18:22:41:46:29:7,3:2:19:25:44:44:15:7,16:7:5:13:7:47:40:3,24:23:42:37:25:1:26:3
127,Dede,Gilbertson,Dede Gilbertson,47:21:36:2:21:2:29:10,32:1:26:21:45:26:15:2,32:12:37:16:25:44:12:8,42:40:34:31:49:40:29:8,40:15:36:11:48:4:3:10
128,Brianna,Solitta,Brianna Solitta,7:10:20:24:44:26:7:-1,2:26:23:12:48:15:28:6,19:42:28:34:28:7:40:8,42:44:19:36:5:34:39:2,23:20:16:42:3:13:47:10
129,Gui,Darrell,Gui Darrell,4:46:19:24:21:20:16:1,3:7:38:28:26:48:6:10,35:23:31:16:7:6:25:10,2:20:40:28:27:32:27:10,20:6:43:21:19:44:19:1
130,June,Zitvaa,June Zitvaa,32:6:38:10:47:33:1:7,42:37:7:45:6:19:22:8,8:33:33:16:32:6:49:5,49:4:12:46:3:14:14:6,17:11:16:32:33:11:11:4
131,Rochette,Anis,Rochette Anis,13:33:30:44:23:11:21:2,25:5:19:25:1:22:27:7,26:41:38:44:8:4:44:3,34:26:4:2:45:26:19:2,33:1:19:42:31:6:35:-1
132,Janey,Stuart,Janey Stuart,22:27:1:19:12:27:8:5,34:20:48:15:19:12:14:10,6:13:38:12:16:16:17:1,39:21:44:7:6:47:41:-1,39:2:8:41:37:11:27:6
133,Lyssa,Viddah,Lyssa Viddah,8:37:1:35:42:39:19:8,25:32:41:47:41:32:35:6,20:25:1:34:12:10:48:10,4:7:28:19:9:25:40:2,9:38:47:10:6:7:5:8
134,Benita,Drus,Benita Drus,39:8:14:35:44:20:36:8,45:25:19:29:7:16:16:7,20:14:40:44:16:32:40:5,49:35:21:2:24:23:43:4,11:20:14:36:15:25:20:9
135,Mildrid,Weitman,Mildrid Weitman,39:28:33:9:48:49:1:6,11:14:18:18:25:44:30:7,7:31:1:7:30:43:21:-1,3:37:42:32:4:24:18:4,37:25:1:1:33:46:28:4
136,Petronia,Oster,Petronia Oster,25:20:27:38:45:29:38:6,27:29:7:18:49:29:24:7,21:29:5:35:36:34:17:5,33:3:18:46:1:45:35:7,26:24:6:49:17:10:18:3
137,Shaine,Simmonds,Shaine Simmonds,21:23:31:3:15:37:41:-1,23:14:24:26:15:37:23:10,11:10:28:29:46:29:40:2,9:24:8:8:1:9:22:2,25:31:22:15:9:10:34:5
